,index,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real,symbol,year,quarter,Text
0,count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,AAPL,2008,1,
1,mean,0.7186245421700922,0.19333152691063643,0.06755321872453511,0.02049071219473622,0.75,559.5,0.5,20.5,0.0,0.0,0.9796620458364487,0.02033794019371271,0.014367860734637361,0.985632136464119,AAPL,2008,1,
2,std,0.024005929179492652,0.021774004944093428,0.010795110959132234,0.010433117307348791,0.5,763.6275270051493,0.5773502691896257,3.1091263510296048,0.0,0.0,0.031589696835885014,0.031589689010132996,0.028310010368305525,0.028310013465974043,AAPL,2008,1,
3,min,0.692090395480226,0.16489361702127658,0.05570291777188329,0.007957559681697613,0.0,70.0,0.0,16.0,0.0,0.0,0.932328999042511,0.0029272339306771755,0.00017238374857697636,0.9431671500205994,AAPL,2008,1,
4,25%,0.7042725988700566,0.18247008860545177,0.059759062776304155,0.014489389920424403,0.75,189.25,0.0,19.75,0.0,0.0,0.9782105088233948,0.003925181576050818,0.00019833746046060696,0.9855973720550537,AAPL,2008,1,
5,50%,0.7171985815602837,0.19727180086619012,0.06869114877589454,0.021045197740112993,1.0,234.5,0.5,21.5,0.0,0.0,0.9946232438087463,0.005376777844503522,0.00023310833057621494,0.9997668862342834,AAPL,2008,1,
6,75%,0.7315505248603195,0.20813323917137475,0.0764853047241255,0.027046520014424813,1.0,604.75,1.0,22.25,0.0,0.0,0.9960747808218002,0.021789536462165415,0.014402631604752969,0.9998016506433487,AAPL,2008,1,
7,max,0.7480106100795756,0.21388888888888888,0.07712765957446809,0.031914893617021274,1.0,1699.0,1.0,23.0,0.0,0.0,0.997072696685791,0.06767097115516663,0.05683284252882004,0.9998276233673096,AAPL,2008,1,
0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AAPL,2008,2,
1,mean,0.7305406272662127,0.18222112010872818,0.06998341881771511,0.01725483380734398,1.0,515.1666666666666,0.6666666666666666,19.0,0.0,0.0,0.9804352720578512,0.019564721422890823,0.04723229462009234,0.9527677198251089,AAPL,2008,2,
2,std,0.02321070763169884,0.013117373575507778,0.009637779531938773,0.007281619820833096,0.0,698.6574029284074,0.5163977794943223,2.280350850198276,0.0,0.0,0.02025413934095631,0.020254140497507143,0.11399842655573374,0.1139984486061986,AAPL,2008,2,
3,min,0.7011494252873564,0.15902964959568733,0.05509641873278237,0.005390835579514825,1.0,69.0,0.0,15.0,0.0,0.0,0.947808027267456,0.001388123957440257,0.00017834847676567733,0.7200769186019897,AAPL,2008,2,
4,25%,0.7200068870523416,0.18129458261037207,0.0656878498859631,0.015085791401580874,1.0,130.0,0.25,18.25,0.0,0.0,0.9696347415447235,0.0031555406167171896,0.00018594530411064625,0.9980095624923706,AAPL,2008,2,
5,50%,0.730510850128075,0.18232600732600732,0.07089036694299852,0.016862447896930657,1.0,231.5,1.0,19.5,0.0,0.0,0.9856646060943604,0.014335385989397764,0.00029292816907400265,0.9997071027755737,AAPL,2008,2,
6,75%,0.7328859006490585,0.18839531680440771,0.07452485380116959,0.02290538614990026,1.0,483.75,1.0,20.75,0.0,0.0,0.9968445003032684,0.030365250073373318,0.0019904022628907114,0.9998140931129456,AAPL,2008,2,
7,max,0.77088948787062,0.19827586206896552,0.08333333333333333,0.025,1.0,1895.0,1.0,21.0,0.0,0.0,0.9986118078231812,0.05219196900725365,0.27992305159568787,0.9998217225074768,AAPL,2008,2,
0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AAPL,2008,3,
1,mean,0.7398367911969846,0.17605061104174724,0.06585012972523045,0.01826246803603774,1.0,1375.5,0.3333333333333333,19.5,0.16666666666666666,0.0,0.9785532255967458,0.021446787179835763,0.15585813589617223,0.8441418794294199,AAPL,2008,3,
2,std,0.02174672969745493,0.01129078848006738,0.020464791936388005,0.007295739790464735,0.0,1682.1129272435903,0.5163977794943223,3.9370039370059056,0.408248290463863,0.0,0.024193467774602836,0.02419346064867038,0.3801652599247492,0.3801652710856336,AAPL,2008,3,
3,min,0.7087912087912088,0.15733333333333333,0.032,0.008,1.0,158.0,0.0,15.0,0.0,0.0,0.9326271414756775,0.000660742458421737,0.00017211570229846984,0.06813400238752365,AAPL,2008,3,
4,25%,0.729095199723725,0.1734080987505645,0.06410644257703081,0.013211053652230123,1.0,304.0,0.0,16.25,0.0,0.0,0.9769987612962723,0.006300450884737074,0.00018816849478753284,0.9983558803796768,AAPL,2008,3,
5,50%,0.7383024442653774,0.17754794225382461,0.06645946049652737,0.02028205128205128,1.0,795.0,0.0,19.5,0.0,0.0,0.983816385269165,0.016183662228286266,0.000500727430335246,0.9994993209838867,AAPL,2008,3,
6,75%,0.7522745098039216,0.1792717086834734,0.06964429607459421,0.022140056022408962,1.0,1532.0,0.75,22.75,0.0,0.0,0.9936995506286621,0.0230012284591794,0.0016441362095065415,0.9998118579387665,AAPL,2008,3,
7,max,0.7706666666666667,0.192,0.09615384615384616,0.0273972602739726,1.0,4587.0,1.0,24.0,1.0,0.0,0.9993392825126648,0.06737285852432251,0.9318659901618958,0.9998278617858887,AAPL,2008,3,
0,count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,AAPL,2008,4,
1,mean,0.7304316493453816,0.18166570725737877,0.07186018540579733,0.01604245799144247,0.75,170.25,0.75,20.75,0.08333333333333333,0.0,0.9476302266120911,0.05236975089549863,0.08951655897908495,0.9104834430230161,AAPL,2008,4,
2,std,0.05334218932167972,0.03645388174869318,0.017847735952716486,0.009387106497896546,0.45226701686664544,96.6541397316883,0.45226701686664544,8.15893263963993,0.28867513459481287,0.0,0.13693910597447925,0.13693910358658704,0.28733793096282007,0.2873379562980093,AAPL,2008,4,
3,min,0.6340057636887608,0.11581920903954802,0.0423728813559322,0.0,0.0,60.0,0.0,11.0,0.0,0.0,0.5156710743904114,0.0004931457806378603,0.00018737494247034192,0.00028870441019535065,AAPL,2008,4,
4,25%,0.6991070377202968,0.1604135655952046,0.06407852918694935,0.012359116022099447,0.75,100.25,0.75,14.5,0.0,0.0,0.979543149471283,0.001662612979998812,0.00019443000928731635,0.9990974366664886,AAPL,2008,4,
5,50%,0.7259854217930266,0.19004006665957524,0.07142857142857142,0.01680672268907563,1.0,150.5,1.0,19.5,0.0,0.0,0.9894809126853943,0.010519045405089855,0.00025439152523176745,0.9997456073760986,AAPL,2008,4,
6,75%,0.7700510054768176,0.2086505714069477,0.08110802843766257,0.02007171557487732,1.0,203.75,1.0,25.25,0.0,0.0,0.9983373731374741,0.020456828642636538,0.0009025921317515895,0.9998055696487427,AAPL,2008,4,
7,max,0.8248587570621468,0.2334293948126801,0.10315186246418338,0.037463976945244955,1.0,385.0,1.0,40.0,1.0,0.0,0.9995068311691284,0.48432889580726624,0.9997112154960632,0.999812662601471,AAPL,2008,4,
0,count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,AAPL,2009,1,
1,mean,0.702129045000863,0.19847855244817728,0.08144782684052905,0.01794457571043056,0.42857142857142855,226.85714285714286,0.7142857142857143,23.285714285714285,0.0,0.0,0.9968582051140922,0.0031418148261894074,0.0411556163453497,0.9588443807193211,AAPL,2009,1,
2,std,0.03702584719544153,0.01687189576056702,0.019559391957139925,0.00924421226469072,0.5345224838248487,152.2513585833512,0.4879500364742666,5.765248931147314,0.0,0.0,0.002802340347284609,0.0028023162023730597,0.09612822362057581,0.09612821111930497,AAPL,2009,1,
3,min,0.6694677871148459,0.17222222222222222,0.050666666666666665,0.008771929824561403,0.0,69.0,0.0,16.0,0.0,0.0,0.9910633563995361,0.0010048106778413057,0.00016909489932004362,0.7422555088996887,AAPL,2009,1,
4,25%,0.6743661924630104,0.1897520661157025,0.06977124183006536,0.012277777777777776,0.0,101.5,0.5,18.5,0.0,0.0,0.9962796866893768,0.0013956635957583785,0.00017275410937145352,0.9851773381233215,AAPL,2009,1,
5,50%,0.6804407713498623,0.19607843137254902,0.08595988538681948,0.014005602240896359,0.0,234.0,1.0,26.0,0.0,0.0,0.9981807470321655,0.0018192747374996543,0.00018485839245840907,0.9998151659965515,AAPL,2009,1,
6,75%,0.7317422969187675,0.21112341784851477,0.09516214779372674,0.02123313508784603,1.0,297.0,1.0,26.5,0.0,0.0,0.9986043572425842,0.0037203424144536257,0.014822666002146434,0.9998272359371185,AAPL,2009,1,
7,max,0.7527777777777778,0.21929824561403508,0.10364145658263306,0.03581267217630854,1.0,488.0,1.0,31.0,0.0,0.0,0.9989952445030212,0.008936606347560883,0.25774452090263367,0.9998308420181274,AAPL,2009,1,
0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AAPL,2009,2,
1,mean,0.7143932889310322,0.1918973538922071,0.07203979679357746,0.02166956038318346,0.6666666666666666,330.6666666666667,0.6666666666666666,21.833333333333332,0.0,0.0,0.9890917440255483,0.010908261387764165,0.01525383804255398,0.9847461481889089,AAPL,2009,2,
2,std,0.03179496542165471,0.023249626386934095,0.008448072232102236,0.008045367356021467,0.5163977794943223,311.3722316884835,0.5163977794943223,4.262237284181474,0.0,0.0,0.011678952783055422,0.01167893673917248,0.032848334463397987,0.032848327399491416,AAPL,2009,2,
