,index,Text,id,model,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real
0,count,0.0,0,0,,,,,,,,,,,,,,
1,mean,,0,0,,,,,,,,,,,,,,
2,std,,0,0,,,,,,,,,,,,,,
3,min,,0,0,,,,,,,,,,,,,,
4,25%,,0,0,,,,,,,,,,,,,,
5,50%,,0,0,,,,,,,,,,,,,,
6,75%,,0,0,,,,,,,,,,,,,,
7,max,,0,0,,,,,,,,,,,,,,
0,count,0.0,1,1,,,,,,,,,,,,,,
1,mean,,1,1,,,,,,,,,,,,,,
2,std,,1,1,,,,,,,,,,,,,,
3,min,,1,1,,,,,,,,,,,,,,
4,25%,,1,1,,,,,,,,,,,,,,
5,50%,,1,1,,,,,,,,,,,,,,
6,75%,,1,1,,,,,,,,,,,,,,
7,max,,1,1,,,,,,,,,,,,,,
0,count,0.0,2,2,,,,,,,,,,,,,,
1,mean,,2,2,,,,,,,,,,,,,,
2,std,,2,2,,,,,,,,,,,,,,
3,min,,2,2,,,,,,,,,,,,,,
4,25%,,2,2,,,,,,,,,,,,,,
5,50%,,2,2,,,,,,,,,,,,,,
6,75%,,2,2,,,,,,,,,,,,,,
7,max,,2,2,,,,,,,,,,,,,,
0,count,0.0,3,3,,,,,,,,,,,,,,
1,mean,,3,3,,,,,,,,,,,,,,
2,std,,3,3,,,,,,,,,,,,,,
3,min,,3,3,,,,,,,,,,,,,,
4,25%,,3,3,,,,,,,,,,,,,,
5,50%,,3,3,,,,,,,,,,,,,,
6,75%,,3,3,,,,,,,,,,,,,,
7,max,,3,3,,,,,,,,,,,,,,
0,count,0.0,4,4,,,,,,,,,,,,,,
1,mean,,4,4,,,,,,,,,,,,,,
2,std,,4,4,,,,,,,,,,,,,,
3,min,,4,4,,,,,,,,,,,,,,
4,25%,,4,4,,,,,,,,,,,,,,
5,50%,,4,4,,,,,,,,,,,,,,
6,75%,,4,4,,,,,,,,,,,,,,
7,max,,4,4,,,,,,,,,,,,,,
0,count,0.0,5,5,,,,,,,,,,,,,,
1,mean,,5,5,,,,,,,,,,,,,,
2,std,,5,5,,,,,,,,,,,,,,
3,min,,5,5,,,,,,,,,,,,,,
4,25%,,5,5,,,,,,,,,,,,,,
5,50%,,5,5,,,,,,,,,,,,,,
6,75%,,5,5,,,,,,,,,,,,,,
7,max,,5,5,,,,,,,,,,,,,,
0,count,0.0,6,6,,,,,,,,,,,,,,
